user_uuid,question_code,question_text,question_number,category_id,category_name,option_id,option_select,option_code,option_text,block_number,created_at
13192756-994c-4f16-bc7b-67a4210c4d5a,2_25,It stings to be left out. But picking a guest list isn’t easy either. Sometimes it’s not personal—it’s just hard.  How do you handle it when you’re the host?,,2,Friends,,OTHER,2_25_OTHER,Other,5,2025-08-14T18:18:50.560657
13192756-994c-4f16-bc7b-67a4210c4d5a,2_26,How do you handle it when someone feels hurt because you didn’t include them?,,2,Friends,,D,2_26_D,D. I get mad—they don’t know what went down.,5,2025-08-22T18:18:50.560661
13192756-994c-4f16-bc7b-67a4210c4d5a,3_1,How much time do you usually spend online each day (outside of schoolwork)?,,3,Online_Life,,A,3_1_A,A. Less than 1 hour,1,2025-08-18T18:18:50.560664
13192756-994c-4f16-bc7b-67a4210c4d5a,3_3,Do you think online friendships are “real friendships”?,,3,Online_Life,,A,3_3_A,"A. Yes, they’re just as real",1,2025-08-09T18:18:50.560668
13192756-994c-4f16-bc7b-67a4210c4d5a,3_6,"Pew Research Center (April 2025) reported: Teens acknowledge both positives and negatives: 74% say it’s enhanced friendships; 63% say it’s sparked creativity—but 39% feel overwhelmed by drama, and 31% pressured to post .  How does social media affect your mood? Then see others.",,3,Online_Life,,OTHER,3_6_OTHER,Drop your vibe:,2,2025-08-06T18:18:50.560671
13192756-994c-4f16-bc7b-67a4210c4d5a,3_9,How do you feel right before you post something?,,3,Online_Life,,OTHER,3_9_OTHER,Drop your vibe:,2,2025-08-26T18:18:50.560674
13192756-994c-4f16-bc7b-67a4210c4d5a,3_10,What do you do after you post something?,,3,Online_Life,,B,3_10_B,"B. Say I don’t care, then secretly care",2,2025-08-17T18:18:50.560677
13192756-994c-4f16-bc7b-67a4210c4d5a,3_12,"When a post gets a lot of love, what do you think about next?",,3,Online_Life,,C,3_12_C,"C. I enjoy it, then move on",2,2025-08-22T18:18:50.560680
13192756-994c-4f16-bc7b-67a4210c4d5a,3_13,How real are your posts compared to your real life?,,3,Online_Life,,OTHER,3_13_OTHER,Other,2,2025-08-07T18:18:50.560683
13192756-994c-4f16-bc7b-67a4210c4d5a,3_7,What’s your main reason for posting anything?,,3,Online_Life,,D,3_7_D,D. Caught the mirror on a good day.,3,2025-08-28T18:18:50.560687
13192756-994c-4f16-bc7b-67a4210c4d5a,3_14,Has social media ever made you feel punished for being real?,,3,Online_Life,,A,3_14_A,Yes—when I shared something not flashy and got ignored,3,2025-08-28T18:18:50.560690
13192756-994c-4f16-bc7b-67a4210c4d5a,3_11,How do you feel when people leave kind comments on your post?,,3,Online_Life,,OTHER,3_11_OTHER,Also this:,4,2025-08-05T18:18:50.560693
13192756-994c-4f16-bc7b-67a4210c4d5a,3_17,If your post didn’t get any likes... what’s your first thought?,,3,Online_Life,,C,3_17_C,C. Do I even exist?,4,2025-08-16T18:18:50.560696
13192756-994c-4f16-bc7b-67a4210c4d5a,3_18,Do you ever scroll through your own old posts?,,3,Online_Life,,A,3_18_A,A. Yeah—it’s like a time machine to better days,4,2025-08-30T18:18:50.560699
13192756-994c-4f16-bc7b-67a4210c4d5a,3_25,What’s your relationship with deleting posts?,,3,Online_Life,,B,3_25_B,B. Delete spree—no one’s safe,4,2025-08-11T18:18:50.560702
13192756-994c-4f16-bc7b-67a4210c4d5a,3_19,When you see people’s happy posts…,,3,Online_Life,,OTHER,3_19_OTHER,Also this:,5,2025-08-28T18:18:50.560705
13192756-994c-4f16-bc7b-67a4210c4d5a,3_20,What’s your energy when watching a friend go viral?,,3,Online_Life,,B,3_20_B,B. Gotta respect the hustle—even if it’s cringe,5,2025-08-06T18:18:50.560708
13192756-994c-4f16-bc7b-67a4210c4d5a,3_24,"How do you know you’ve emotionally graduated from a trend, with honors?",,3,Online_Life,,C,3_24_C,C. When you know the punchline before the video loads,5,2025-08-03T18:18:50.560711
13192756-994c-4f16-bc7b-67a4210c4d5a,3_27,When you don’t post for a while…,,3,Online_Life,,D,3_27_D,D. At this point… I’m ghosting the app,5,2025-08-24T18:18:50.560714
13192756-994c-4f16-bc7b-67a4210c4d5a,3_21,What’s your birthday vibe online?,,3,Online_Life,,A,3_21_A,"A. I post, then spiral: “12 comments? That’s it??”",6,2025-08-06T18:18:50.560717
13192756-994c-4f16-bc7b-67a4210c4d5a,3_22,How do you feel when your birthday gets posted online by the platform (or others)?,,3,Online_Life,,OTHER,3_22_OTHER,Also this:,6,2025-08-11T18:18:50.560727
13192756-994c-4f16-bc7b-67a4210c4d5a,3_23,"When people post birthday edits on TikTok, do you ever feel weird about your own?",,3,Online_Life,,A,3_23_A,A. I love them but kinda jealous,6,2025-08-04T18:18:50.560731
13192756-994c-4f16-bc7b-67a4210c4d5a,4_1,"No dress code, no shade. Style isn’t just what you wear—it’s a way to say “this is me” without talking.  What’s your dream outfit if no one could judge?",,4,Pinky,,B,4_1_B,"B. Something bold, weird, and maybe a little scary to pull off.",1,2025-08-11T18:18:50.560734
13192756-994c-4f16-bc7b-67a4210c4d5a,4_3,What color feels like “you” today?,,4,Pinky,,C,4_3_C,C. Lavender — sweet but mysterious,1,2025-08-12T18:18:50.560737
13192756-994c-4f16-bc7b-67a4210c4d5a,4_5,What’s your favorite kind of quiet?,,4,Pinky,,B,4_5_B,B. Late-night car rides with soft music,1,2025-08-19T18:18:50.560740
13192756-994c-4f16-bc7b-67a4210c4d5a,4_8,What’s a red flag you’d walk past with sunglasses on?,,4,Pinky,,C,4_8_C,C. Posts too many mirror selfies,1,2025-08-01T18:18:50.560743
13192756-994c-4f16-bc7b-67a4210c4d5a,4_9,What’s your personal theme song when you enter a room?,,4,Pinky,,A,4_9_A,A. “Run the World (Girls)” – Beyoncé,1,2025-08-22T18:18:50.560747
13192756-994c-4f16-bc7b-67a4210c4d5a,4_2,"Lip gloss, mascara, or blush—you only get one?",,4,Pinky,,B,4_2_B,B. Mascara.  My eyes speak first.,2,2025-08-07T18:18:50.560750
13192756-994c-4f16-bc7b-67a4210c4d5a,4_6,What tiny thing makes you feel loved?,,4,Pinky,,A,4_6_A,A. A text that says “made me think of you”,2,2025-08-07T18:18:50.560753
13192756-994c-4f16-bc7b-67a4210c4d5a,4_7,"If you could bottle a moment and wear it as perfume, what would it be?",,4,Pinky,,OTHER,4_7_OTHER,Other,2,2025-08-20T18:18:50.560756
13192756-994c-4f16-bc7b-67a4210c4d5a,4_14,What’s a little thing that makes you feel pretty or powerful?,,4,Pinky,,A,4_14_A,A. Wearing something that’s totally me—even if no one else gets it.,2,2025-08-25T18:18:50.560759
13192756-994c-4f16-bc7b-67a4210c4d5a,4_4,"If your emotions had a scent, what would today’s be?",,4,Pinky,,B,4_4_B,B. Citrus — bright and jumpy,3,2025-08-06T18:18:50.560762
13192756-994c-4f16-bc7b-67a4210c4d5a,4_10,👕👗 If you had to pick one outfit combo to see every day for a year—on yourself or your crush—which one wins?,,4,Pinky,,OTHER,4_10_OTHER,Other,3,2025-08-02T18:18:50.560766
13192756-994c-4f16-bc7b-67a4210c4d5a,4_11,What’s your “I woke up late” outfit —on yourself or your crush?,,4,Pinky,,D,4_11_D,"D. Sleepy eyes, good playlist, and a scarf that works",3,2025-08-18T18:18:50.560776
13192756-994c-4f16-bc7b-67a4210c4d5a,4_12,If you had to wear one for a year—shy but somehow magnetic—on yourself or your crush—which one wins?,,4,Pinky,,D,4_12_D,"D. Soft button-up, chunky necklace, and a smile that makes people stare too long",3,2025-08-19T18:18:50.560779
13192756-994c-4f16-bc7b-67a4210c4d5a,4_13,💼 If you had to wear one vibe for a year—bossy but in denial——on yourself or your crush—which one wins?,,4,Pinky,,B,4_13_B,"B. Glossy hair, oversized tote, constantly saying ‘wait, hear me out’",3,2025-08-26T18:18:50.560782
13192756-994c-4f16-bc7b-67a4210c4d5a,5_3,🔵 What’s your personal theme song when you enter a room? (Lowkey Edition),,5,Lowkey,,A,5_3_A,A. 🎵The Neighborhood - Sweater Weather Slowed Down,1,2025-08-07T18:18:50.560785
13192756-994c-4f16-bc7b-67a4210c4d5a,5_5,Your friend sends a long message. You don’t know how to reply.,,5,Lowkey,,OTHER,5_5_OTHER,Something else your brain does:,1,2025-08-12T18:18:50.560788
13192756-994c-4f16-bc7b-67a4210c4d5a,5_7,What’s your best move when you’re being watched?,,5,Lowkey,,C,5_7_C,C. Walk like a main character. No dialogue.,1,2025-08-24T18:18:50.560791
13192756-994c-4f16-bc7b-67a4210c4d5a,5_9,👕👟 If you had to pick one outfit combo to see every day for a year—on yourself or your crush—which one wins? Lowkey,,5,Lowkey,,D,5_9_D,D. Black jeans + leather jacket = quiet danger vibe,1,2025-08-05T18:18:50.560794
13192756-994c-4f16-bc7b-67a4210c4d5a,5_10,What’s your “I’m not trying but still cute” go-to—on yourself or your crush? Lowkey,,5,Lowkey,,B,5_10_B,"B. Quiet smile, rolled sleeves, and no idea where your keys are.",1,2025-08-15T18:18:50.560798
13192756-994c-4f16-bc7b-67a4210c4d5a,5_6,Where do you usually sit when things feel too much?,,5,Lowkey,,D,5_6_D,D. Hood up. Don’t care.,2,2025-08-22T18:18:50.560801
13192756-994c-4f16-bc7b-67a4210c4d5a,5_8,What sound feels most like you?,,5,Lowkey,,A,5_8_A,A. Knuckles cracking. No warning.,2,2025-08-04T18:18:50.560804
13192756-994c-4f16-bc7b-67a4210c4d5a,5_11,🧲 If you had to wear one vibe for a year—lowkey nervous but somehow magnetic—on yourself or your crush—which one wins?,,5,Lowkey,,A,5_11_A,"A. Hoodie, sleeves pulled low, soft backpack, and sneakers that always look clean",2,2025-08-28T18:18:50.560807
13192756-994c-4f16-bc7b-67a4210c4d5a,5_12,💼 If you had to wear one vibe for a year—bossy but in denial——on yourself or your crush—which one wins?,,5,Lowkey,,A,5_12_A,"A. Zip-up hoodie, sneakers, and a group chat you “accidentally” renamed",2,2025-08-27T18:18:50.560810
13192756-994c-4f16-bc7b-67a4210c4d5a,6_7,Have you ever changed yourself to fit in? [playlist:spiral],,6,Personal,,B,6_7_B,B. I used to. Now I’m picking me first.,1,2025-08-07T18:18:50.560813
13192756-994c-4f16-bc7b-67a4210c4d5a,6_32,What are you building right now that gives you energy or pride?,,6,Personal,,C,6_32_C,C. I’m helping others or doing something for the society that matters to me.,1,2025-08-02T18:18:50.560816
13192756-994c-4f16-bc7b-67a4210c4d5a,6_8,Who do you trust with your secrets?,,6,Personal,,E,6_8_E,E. Honestly? No one.  I keep it all inside.,2,2025-08-24T18:18:50.560819
13192756-994c-4f16-bc7b-67a4210c4d5a,6_27,If people go quiet when you walk by... what do you assume?,,6,Personal,,C,6_27_C,C. I joke to cover the awkwardness.,2,2025-08-26T18:18:50.560822
13192756-994c-4f16-bc7b-67a4210c4d5a,6_30,What do you want to remind yourself when people leave you out? [playlist:Rejection] [playlist:Believe],,6,Personal,,C,6_30_C,C. I can still feel hurt and still move forward.,2,2025-08-02T18:18:50.560825
13192756-994c-4f16-bc7b-67a4210c4d5a,6_12,Where does your creativity show up most?,,6,Personal,,A,6_12_A,"A. In stories, or music I’m proud to make.",4,2025-08-27T18:18:50.560829
13192756-994c-4f16-bc7b-67a4210c4d5a,6_13,What’s your favorite way to express yourself?,,6,Personal,,OTHER,6_13_OTHER,Other,4,2025-08-23T18:18:50.560832
13192756-994c-4f16-bc7b-67a4210c4d5a,6_22,What color best matches your mood right now?,,6,Personal,,E,6_22_E,"E. Purple – creative, complex, not easy to explain",4,2025-07-31T18:18:50.560835
13192756-994c-4f16-bc7b-67a4210c4d5a,6_23,"If your thoughts had a soundtrack today, what would it sound like?",,6,Personal,,A,6_23_A,A. A lo-fi chill beat with rainy window vibes,4,2025-08-01T18:18:50.560840
13192756-994c-4f16-bc7b-67a4210c4d5a,6_24,"If your mind was a weather forecast today, what would it say?",,6,Personal,,C,6_24_C,C. Storm warning: feelings approaching fast,4,2025-08-21T18:18:50.560842
13192756-994c-4f16-bc7b-67a4210c4d5a,6_20,How do you handle the pressure to be perfect?,,6,Personal,,C,6_20_C,C. I pretend it doesn’t bother me and quietly shut down.,5,2025-08-26T18:18:50.560846
13192756-994c-4f16-bc7b-67a4210c4d5a,6_21,What helps you calm down when life feels too big?,,6,Personal,,C,6_21_C,"C. Scroll, snack, and binge-watch until I’m okay again.",5,2025-08-30T18:18:50.560849
13192756-994c-4f16-bc7b-67a4210c4d5a,6_4,Do you ever think about how the way you talk affects how clearly you get your point across?,,6,Personal,,C,6_4_C,"C. Not really. If people don’t get me, that’s kind of on them.",6,2025-08-12T18:18:50.560852
13192756-994c-4f16-bc7b-67a4210c4d5a,6_5,This isn’t grammar police—we don’t care where commas go. We’re just asking… how many “likes” per sentence are you rocking these days? No shade. Just stats.,,6,Personal,,E,6_5_E,E. Like is my whole brand.  Don’t police my words.,6,2025-08-15T18:18:50.560855
13192756-994c-4f16-bc7b-67a4210c4d5a,6_6,"You know when you say “you know”… and the other person doesn’t actually know? But you say it anyway… because it feels right? So how often do you, like, you know… say “you know”?  (This question is—you know—kind of genius.)",,6,Personal,,B,6_6_B,B. I use it to check if people are even listening.,6,2025-08-04T18:18:50.560858
13192756-994c-4f16-bc7b-67a4210c4d5a,6_26,Do you ever feel like you’re on the outside looking in?,,6,Personal,,OTHER,6_26_OTHER,Other,7,2025-08-10T18:18:50.560865
13192756-994c-4f16-bc7b-67a4210c4d5a,6_34,"After homework, who do you usually spend time with?",,6,Personal,,C,6_34_C,C. I spend time with friends in person or texting.,7,2025-08-02T18:18:50.560868
13192756-994c-4f16-bc7b-67a4210c4d5a,7_1,"Forgiveness isn’t a race. Fast, slow, or never—how you handle it is still a story worth telling.  Do you forgive fast, slow… or never?",,7,Healing,,D,7_1_D,D. I hold grudges like they’re family heirlooms.,1,2025-08-10T18:18:50.560872
13192756-994c-4f16-bc7b-67a4210c4d5a,7_3,Do you forgive yourself easily?,,7,Healing,,OTHER,7_3_OTHER,Other,1,2025-08-23T18:18:50.560875
13192756-994c-4f16-bc7b-67a4210c4d5a,8_3,"“When someone crosses the line, your body knows it—even if your face says nothing.”  [playlist:Believe]  What’s your go-to move when someone crosses the line?",,8,Defense,,A,8_3_A,A.  Fake laugh and disappear,1,2025-08-15T18:18:50.560878
13192756-994c-4f16-bc7b-67a4210c4d5a,8_4,You get one line to shut down a hater—what is it?,,8,Defense,,D,8_4_D,D. “Be honest—do you rehearse this in the mirror?”,1,2025-08-02T18:18:50.560882
13192756-994c-4f16-bc7b-67a4210c4d5a,8_12,"If someone tries to bring drama, what’s your signature move?",,8,Defense,,D,8_12_D,D. Silence so loud it echoes,1,2025-08-06T18:18:50.560885
13192756-994c-4f16-bc7b-67a4210c4d5a,8_13,No judgment—everyone handles tension their own way. Some pause. Some pounce. Some panic and joke. What’s your go-to rhythm?  We’re not clocking you like it’s the Olympics—just curious what your survival setting is. How many seconds do you pause before replying—especially with difficult people?,,8,Defense,,B,8_13_B,B. I reply right away with filler words until I figure out what I mean.,1,2025-08-08T18:18:50.560888
13192756-994c-4f16-bc7b-67a4210c4d5a,8_5,"1 in 5 teens experienced bullying.  You see someone being physically bullied in the hallway—like shoved, blocked, or grabbed. What do you do?",,8,Defense,,OTHER,8_5_OTHER,Other,2,2025-08-13T18:18:50.560892
13192756-994c-4f16-bc7b-67a4210c4d5a,8_6,"If you see someone being verbally bullied, what do you do?",,8,Defense,,C,8_6_C,"C. I would say, ‘Hey, that’s not okay,’ even if I were scared.",2,2025-08-01T18:18:50.560895
13192756-994c-4f16-bc7b-67a4210c4d5a,8_7,"Let’s say someone starts physically bullying you—like shoving, hitting, or threatening you. What do you think you’d do?",,8,Defense,,B,8_7_B,B. I’d dodge or block them and just get away.,2,2025-08-26T18:18:50.560898
13192756-994c-4f16-bc7b-67a4210c4d5a,8_8,"If someone’s byllied you—insulting, mocking, or spreading rumors. How would you respond?",,8,Defense,,OTHER,8_8_OTHER,Other,2,2025-08-26T18:18:50.560901
13192756-994c-4f16-bc7b-67a4210c4d5a,8_9,If someone left a mean comment on your post... what would you do?,,8,Defense,,B,8_9_B,B. I’d delete it—but it would still hurt.,2,2025-08-11T18:18:50.560904
13192756-994c-4f16-bc7b-67a4210c4d5a,9_1,Every house has a rhythm—what was yours? Vibes speak even when people don’t. Summer shows how people fit (or don’t)  What was your family vibe this summer?,,9,Family,,D,9_1_D,D. Mostly avoided each other and called it “independent days.”,1,2025-08-21T18:18:50.560907
13192756-994c-4f16-bc7b-67a4210c4d5a,9_2,Do you talk about your day or interesting topics during dinner?,,9,Family,,B,9_2_B,"B. Sometimes, depends on the mood.",1,2025-08-23T18:18:50.560911
13192756-994c-4f16-bc7b-67a4210c4d5a,9_3,Have you ever lied to your parents?,,9,Family,,A,9_3_A,Yes,1,2025-08-11T18:18:50.560914
13192756-994c-4f16-bc7b-67a4210c4d5a,9_4,How often do you lie in general?,,9,Family,,A,9_4_A,Often,1,2025-08-28T18:18:50.560917
13192756-994c-4f16-bc7b-67a4210c4d5a,9_5,"If you ever hide the truth from your parents, what are you usually hiding?",,9,Family,,E,9_5_E,"E. Feelings (sadness, stress, anger)",1,2025-08-14T18:18:50.560920
13192756-994c-4f16-bc7b-67a4210c4d5a,9_6,"When you avoid telling someone the full truth, what’s usually about this person?",,9,Family,,OTHER,9_6_OTHER,Other,1,2025-08-24T18:18:50.560922
13192756-994c-4f16-bc7b-67a4210c4d5a,9_7,What makes you feel safe enough to tell someone the whole truth?,,9,Family,,A,9_7_A,A. They stay calm even if it’s bad news.,1,2025-08-26T18:18:50.560926
13192756-994c-4f16-bc7b-67a4210c4d5a,9_8,"Sibling energy is real—whether it’s war, peace, or just awkward silence. Some bonds are loud. Some are quiet. All of them shape you.  What’s the dynamic you know too well?",,9,Family,,A,9_8_A,A. I try to stay out of their way.,1,2025-08-24T18:18:50.560929
13192756-994c-4f16-bc7b-67a4210c4d5a,9_23,Some things are hard to say out loud—but they still matter. Feeling misunderstood can make even love feel heavy. [playlist:Family]  What do you wish your parent understood about you?,,9,Family,,C,9_23_C,C. I want more freedom—but I’m not trying to rebel.,1,2025-08-14T18:18:50.560933
13192756-994c-4f16-bc7b-67a4210c4d5a,9_22,"You don’t always say it out loud—but it still leaks out. Some teens hide. Some shut down. Some start fights.  When something hurts, what do you actually do at home?",,9,Family,,A,9_22_A,A. I hide in my room and wait for it to pass.,2,2025-08-10T18:18:50.560936
13192756-994c-4f16-bc7b-67a4210c4d5a,9_9,"Every family has tension—loud or quiet, it shows up. Some people rush in. Some shut down. Some disappear. There’s no perfect way to handle it—but your pattern comes from somewhere—and it matters.  When someone in your family is upset, what do you do?",,9,Family,,C,9_9_C,C. I get frustrated—it’s not my job to fix everything.,3,2025-08-24T18:18:50.560939
13192756-994c-4f16-bc7b-67a4210c4d5a,9_10,Every house argues—it’s part of being human. But how it starts… and how it ends… tells you a lot. What’s the script you know by heart?  How do arguments usually go in your house?,,9,Family,,B,9_10_B,B. We eventually talk things out peacefully—even if it’s messy.,3,2025-08-23T18:18:50.560942
13192756-994c-4f16-bc7b-67a4210c4d5a,9_11,Most tension starts small—until it builds into something big. It’s not just what people fight about—it’s what goes unsaid that builds pressure.  What sparks it most where you live?,,9,Family,,B,9_11_B,B. Different opinions—but we work through it.,3,2025-08-08T18:18:50.560945
13192756-994c-4f16-bc7b-67a4210c4d5a,9_12,Every couple fights—it’s part of being close. But how they argue teaches you something: What respect looks like. Whether people take responsibility. Whether things get repaired—or just buried.  How do your parents argue?,,9,Family,,B,9_12_B,B. Cold silence for days,3,2025-08-18T18:18:50.560948
13192756-994c-4f16-bc7b-67a4210c4d5a,9_14,Every household has repeat fights—like a playlist stuck on loop.  What do your parents usually argue about?,,9,Family,,A,9_14_A,A. Money,3,2025-08-16T18:18:50.560951
13192756-994c-4f16-bc7b-67a4210c4d5a,9_15,"Parents don’t always say what’s really going on. But you feel it—through their moods, their tone, their silence.  What do you think is weighing on them lately?",,9,Family,,D,9_15_D,D. They talk a lot about sacrifice—and want me to make it all worth it.,3,2025-08-29T18:18:50.560954
13192756-994c-4f16-bc7b-67a4210c4d5a,9_16,"Even if it’s not your fight, it affects you. Some teens hide. Some freeze. Some jump in.  What’s your instinct when the room goes tense?",,9,Family,,B,9_16_B,B. Stay calm and wait to check in afterward.,3,2025-08-07T18:18:50.560957
13192756-994c-4f16-bc7b-67a4210c4d5a,9_17,"The kitchen CEO has the power: they choose the menu, set the vibe, control the spice level, and who complains about it.. Curious how your setup compares to others? You’re about to help build the stats.  Who cooks in your home most of the time?",,9,Family,,B,9_17_B,B. Dad,4,2025-08-23T18:18:50.560960
13192756-994c-4f16-bc7b-67a4210c4d5a,9_18,How’s the mess level in your house vs your room?,,9,Family,,OTHER,9_18_OTHER,Other,4,2025-08-29T18:18:50.560963
13192756-994c-4f16-bc7b-67a4210c4d5a,9_20,"Some people get paid for chores. Some get paid for grades. Some get… nothing. Allowance rules say a lot about how families see effort, trust, and money. Curious how your setup compares to others? You’re about to help build the stats.  Is your allowance based on anything?",,9,Family,,B,9_20_B,B. School performance,4,2025-08-08T18:18:50.560967
13192756-994c-4f16-bc7b-67a4210c4d5a,10_3,What’s stopping you from using AI more?,,10,Future,,B,10_3_B,B. I’m not sure how to start,1,2025-08-06T18:18:50.560970
13192756-994c-4f16-bc7b-67a4210c4d5a,10_4,What is your plan with AI?,,10,Future,,OTHER,10_4_OTHER,Other,1,2025-08-01T18:18:50.560973
13192756-994c-4f16-bc7b-67a4210c4d5a,10_5,"If you chose to build it or use it, which role sounds most like you?",,10,Future,,C,10_5_C,"C. Creator (art, music, stories, media, design): Use AI smart — to create, write, sell, or lead",1,2025-08-30T18:18:50.560976
13192756-994c-4f16-bc7b-67a4210c4d5a,10_6,Should we stop AI?,,10,Future,,A,10_6_A,"A. Yes, stop it.",1,2025-08-03T18:18:50.560979
13192756-994c-4f16-bc7b-67a4210c4d5a,10_8,"If you could make good money without a degree, would you skip college? No one path fits all. But asking these questions early? That’s what smart people do.",,10,Future,,OTHER,10_8_OTHER,Other,2,2025-08-28T18:18:50.560982
13192756-994c-4f16-bc7b-67a4210c4d5a,10_9,Should you learn to weld and make $150k underwater?,,10,Future,,OTHER,10_9_OTHER,Other,2,2025-08-11T18:18:50.560986
13192756-994c-4f16-bc7b-67a4210c4d5a,10_10,Plumbing: one of the last jobs robots can’t do (yet). Would you?,,10,Future,,B,10_10_B,"B.  Will there be too many plumbers if that’s the only thing robots can’t do, yet?",2,2025-08-22T18:18:50.560989
13192756-994c-4f16-bc7b-67a4210c4d5a,10_11,Plenty of sunshine. Plenty of weeds. No robots in sight (yet). Jobs like hand-weeding are open. Would you take one?,,10,Future,,OTHER,10_11_OTHER,Other,2,2025-08-10T18:18:50.560995
13192756-994c-4f16-bc7b-67a4210c4d5a,10_12,How much would you want to be paid per year to pull weeds?,,10,Future,,C,10_12_C,"C  $50,001–$75,000",2,2025-08-08T18:18:50.560998
13192756-994c-4f16-bc7b-67a4210c4d5a,10_13,"How much do you think workers like this (e.g., weeding by hand) are usually paid per year?",,10,Future,,B,10_13_B,"B.  $30,001–$40,000",2,2025-08-24T18:18:50.561001
13192756-994c-4f16-bc7b-67a4210c4d5a,10_14,"Even before AI hit the job market, over half of young adults (18–29) were still living with their parents. If jobs stay flaky and rent keeps climbing, what’s your Plan B?",,10,Future,,C,10_14_C,"C. If there’s UBI (see next question): Team up: shared rent, shared chores, shared Costco card",2,2025-08-10T18:18:50.561004
13192756-994c-4f16-bc7b-67a4210c4d5a,10_15,"When AI does the work, humans still need to eat. Should the government step in—or let it play out? Your ideas now could shape what happens next. This isn’t a quiz—it’s a fork in the road.",,10,Future,,OTHER,10_15_OTHER,Other,2,2025-08-17T18:18:50.561007
13192756-994c-4f16-bc7b-67a4210c4d5a,10_16,"Let’s say you got $1,000/month UBI, no strings attached. Would it be survival? Freedom? Strategy? What’s your real plan?",,10,Future,,B,10_16_B,"B. Pool it with others—shared living, bartering, co-ops. Take pressure off my hustle—so I can study, create, or breathe.",2,2025-08-05T18:18:50.561010
13192756-994c-4f16-bc7b-67a4210c4d5a,10_17,"If AI is so powerful—like, powerful enough to take everyone’s job—why can’t it earn $100K a year for everyone?",,10,Future,,OTHER,10_17_OTHER,Other,2,2025-08-01T18:18:50.561013
13192756-994c-4f16-bc7b-67a4210c4d5a,10_19,"If AI can do most of the thinking, what do you think humans are here for?",,10,Future,,C,10_19_C,"C. Honestly, I’m not sure.  It makes me feel replaceable.",2,2025-08-28T18:18:50.561016
13192756-994c-4f16-bc7b-67a4210c4d5a,11_1,Back-to-school isn’t just supplies and schedules. It’s a whole emotional climate change. What’s your first day of school vibe?,,11,School,,B,11_1_B,B. I’m already stressed about the workload.,1,2025-08-08T18:18:50.561019
13192756-994c-4f16-bc7b-67a4210c4d5a,11_2,What went through your head when you saw your class seating chart?,,11,School,,A,11_2_A,A. “Please no group work.”,1,2025-08-29T18:18:50.561022
