id,category_id,category_name,block_number,block_text,question_code,question_number,question_text,check_box,max_select,color_code,version,is_start_question,parent_question_id
28,2,Love,5," Ghost and Goodbye
The Sky That Stayed
🎵[playlist:Breakup]",2_19,19,"Breakups don’t always end at goodbye.
Sometimes the hardest part is what comes after—the part you watch from afar.
However you react—it’s okay. You’re still healing.
What do you do when your ex starts dating someone new?",TRUE,10,#ADD8E6,1,,
29,2,Love,5," Ghost and Goodbye
The Sky That Stayed
🎵[playlist:Breakup]",2_20,20,How do you act around someone who broke your heart?,TRUE,10,#ADD8E6,1,,
30,2,Love,5," Ghost and Goodbye
The Sky That Stayed
🎵[playlist:Breakup]",2_21,21,"Some things never got said.
That doesn’t mean they weren’t true.
You still get to speak your version—even if they never hear it.
What do you wish you could say to the person who broke your heart?",TRUE,10,#FFE066,1,,
31,2,Love,5," Ghost and Goodbye
The Sky That Stayed
🎵[playlist:Breakup]",2_22,22,"Moving on isn’t one path—it’s a mess of thoughts, feelings, masks, and moments.
You don’t need to do it perfectly. Just honestly.

What made your old love finally feel… less loud?",TRUE,10,#FFAD84,1,,
32,2,Love,5," Ghost and Goodbye
The Sky That Stayed
🎵[playlist:Breakup]",2_23,23,"Sometimes love ends before the truth arrives.
That doesn’t mean you failed—it means you grew.
Even the wrong story can teach you what kind of love is right.

Have you ever realized later that the relationship wasn’t right for you?",TRUE,10,#ADD8E6,1,,
33,2,Love,5," Ghost and Goodbye
The Sky That Stayed
🎵[playlist:Breakup]",2_24,24,"Some love stories end with closure. Others end with… screenshots.
Either way, if you can laugh now, it means you’ve made it somewhere new.

What’s a moment from a past relationship you laugh about now?",FALSE,1,#ADD8E6,1,,
34,2,Love,6,Love in Beta,2_25,25,"If your love life was a playlist, what’s the title?",TRUE,10,#98FB98,1,,
35,2,Love,6,Love in Beta,2_26,26,"Your love life isn’t broken. It’s just in beta.
Honest status updates are the start of real growth—and great stories.
💘 If your love life had a status update, what would it say?",FALSE,1,#F08080,1,,
36,3,Friends,1,How to Make Friends,3_1,1,Do you find making friends…,FALSE,1,#ADD8E6,1,,
37,3,Friends,1,How to Make Friends,3_2,2,Do you have friends right now?,FALSE,1,#ADD8E6,1,,
38,3,Friends,1,How to Make Friends,3_3,3,What’s the easiest way to start talking to someone new?,TRUE,10,#98FB98,1,,
39,3,Friends,1,How to Make Friends,3_4,4,"If you want someone to like you, what should you focus on first?",TRUE,10,#FFE066,1,,
40,3,Friends,1,How to Make Friends,3_5,5,What’s the best way to keep a conversation going?,TRUE,10,#FFE066,1,,
41,3,Friends,1,How to Make Friends,3_6,6,When is a good moment to ask someone to hang out?,TRUE,10,#ADD8E6,1,,
42,3,Friends,1,How to Make Friends,3_7,7,How can you make someone feel important without overdoing it?,TRUE,10,#98FB98,1,,
43,3,Friends,2,How to keep friends,3_8,8,Do you think keeping friends is…,FALSE,1,#FFE066,1,,
44,3,Friends,2,How to keep friends,3_9,9,What’s most important for keeping a friendship strong?,TRUE,10,#FFAD84,1,,
45,3,Friends,2,How to keep friends,3_10,10,How do you show a friend they matter to you?,TRUE,10,#D6C7E7,1,,
46,3,Friends,3,Friendship Values,3_11,11,What makes someone a real friend?,TRUE,10,#ADD8E6,1,,
47,3,Friends,3,Friendship Values,3_12,12,What does loyalty mean to you in a friendship?,TRUE,10,#F08080,1,,
48,3,Friends,3,Friendship Values,3_13,13,What kind of friend are you?,TRUE,10,#ADD8E6,1,,
49,3,Friends,3,Friendship Values,3_14,14,What do you wish your friends understood about you?,FALSE,1,#ADD8E6,1,,
50,3,Friends,3,Friendship Values,3_15,15,"**“Being seen” isn’t about attention. It’s about recognition.**
Which kind do you want more of this year?

What’s one way a friend could make you feel seen this year?",TRUE,10,#98FB98,1,,
51,3,Friends,3,Friendship Values,3_16,16,How do you act when a friend gets something you really wanted?,TRUE,10,#FFE066,1,,
52,3,Friends,4,"Friendship Challenges
🎵[playlist:Hurt]",3_17,17,"If you and a friend argue, what’s the best move?",TRUE,10,#FFE066,1,,
53,3,Friends,4,Friendship Challenges,3_18,18,What makes you want to step back from a friendship?,TRUE,10,#ADD8E6,1,,
54,3,Friends,4,Friendship Challenges,3_19,19,What do you do when a friend hurts your feelings?,FALSE,1,#98FB98,1,,
55,3,Friends,4,Friendship Challenges,3_20,20,What do you do when a friend breaks your trust?,TRUE,10,#FFE066,1,,
56,3,Friends,4,Friendship Challenges,3_21,21,Do you believe in second chances with friends?,TRUE,10,#FFAD84,1,,
57,3,Friends,5,Outside Influence,3_22,22,What if your friend’s voice is mixed with someone else’s influence?,FALSE,1,#D6C7E7,1,,
58,3,Friends,5,Outside Influence,3_23,23,When a friend chose someone else over you,FALSE,1,#ADD8E6,1,,
59,3,Friends,6,"Fitting In & Left Out
🎵[playlist:Spiral]",3_24,24,"Do you ever feel invisible in your friend group?
If yes—what do you think is really going on?",TRUE,10,#98FB98,1,,
60,3,Friends,6,Fitting In & Left Out,3_25,25,"If your friend made you feel invisible in a group, what would you do?",TRUE,10,#B0C4DE,1,,
61,3,Friends,6,Fitting In & Left Out,3_26,26,"You didn’t get the invite. But you still get to decide who you are.
[playlist:Hurt]

You found out there was a party... but you weren’t invited. How do you feel?",TRUE,10,#F08080,1,,
62,3,Friends,6,Fitting In & Left Out,3_27,27,"When you feel left out, what helps the most?",TRUE,10,#FFE066,1,,
63,3,Friends,6,Fitting In & Left Out,3_28,28,"If your friend left you out, what did you do?",TRUE,10,#D6C7E7,1,,
64,3,Friends,6,Fitting In & Left Out,3_29,29,Why do you think you were left out?,TRUE,10,#ADD8E6,1,,
65,3,Friends,6,Fitting In & Left Out,3_30,30,What do you want to happen next time?,TRUE,10,#FFE066,1,,
66,3,Friends,6,Fitting In & Left Out,3_31,31,"Left out? Okay. Now watch me choose my character arc.

When you’re left out, what kind of person do you want to be anyway?",TRUE,10,#FFAD84,1,,
67,3,Friends,6,Fitting In & Left Out,3_32,32,"Sometimes fitting in costs more than it’s worth.

Have you ever gone along with something that didn’t feel right to you—just to fit in?",FALSE,1,#D6C7E7,1,,
68,3,Friends,6,Fitting In & Left Out,3_33,33,What do you do when you don’t want to go along with what your friends are doing?,FALSE,1,#ADD8E6,1,,
69,3,Friends,6,Fitting In & Left Out,3_34,34,What do you do when you feel like you’re always the second choice?,FALSE,1,#98FB98,1,,
70,3,Friends,6,Fitting In & Left Out,3_35,35,"What do you do when a friend is pulling away, but you’re not sure why?",FALSE,1,#B0C4DE,1,,
71,3,Friends,6,Fitting In & Left Out,3_36,36,When a friend chose someone else over you 🤪,TRUE,10,#F08080,1,,
72,3,Friends,6,Fitting In & Left Out,3_37,37,"It stings to be left out.
But picking a guest list isn’t easy either.
Sometimes it’s not personal—it’s just hard.

How do you handle it when you’re the host?",FALSE,1,#ADD8E6,1,,
73,3,Friends,6,Fitting In & Left Out,3_38,38,How do you handle it when someone feels hurt because you didn’t include them?,FALSE,1,#98FB98,1,,
74,4,Online Life,1,Online Life,4_1,1,"Pew Research Center (April 2025) reported: Teens acknowledge both positives and negatives: 74% say it’s enhanced friendships; 63% say it’s sparked creativity—but 39% feel overwhelmed by drama, and 31% pressured to post .
How much time do you usually spend online each day (outside of schoolwork)?",FALSE,1,#B0C4DE,1,,
75,4,Online Life,1,Online Life,4_2,2,Where do you spend most of your online time? (Pick 2),TRUE,2,#F08080,1,,
76,4,Online Life,1,Online Life,4_3,3,Do you think online friendships are “real friendships”?,FALSE,1,#FFE066,1,,
77,4,Online Life,1,Online Life,4_4,4,What do you like most about being online? ,TRUE,10,#ADD8E6,1,,
78,4,Online Life,1,Online Life,4_5,5,Which social media app do you use most? (Pick up to 2),TRUE,2,#ADD8E6,1,,
79,4,Online Life,1,Online Life,4_6,6,"Why do you not use certain apps or platforms (like Instagram, TikTok, Snapchat)?",TRUE,10,#98FB98,1,,
80,4,Online Life,1,"Posting, Following & Feeling Seen",4_7,7,What kinds of posts grab your interest most? (Pick up to 2),TRUE,2,#FFE066,1,,
81,4,Online Life,1,"Posting, Following & Feeling Seen",4_8,8,"When you post, what do you usually share? (Pick up to 2)",TRUE,2,#ADD8E6,1,,
82,4,Online Life,1,"Posting, Following & Feeling Seen",4_9,9,"When you look at other people’s life posts, how do you usually feel afterward?",FALSE,1,#FFE066,1,,
83,4,Online Life,1,"Posting, Following & Feeling Seen",4_10,10,"When someone posts about their ‘high life’ — trips, fancy stuff, best moments — what do you tend to feel about them?",FALSE,1,#FFAD84,1,,
84,4,Online Life,1,"Posting, Following & Feeling Seen",4_11,11,"When you worry about like counts, what’s behind it for you?",TRUE,10,#D6C7E7,1,,
85,4,Online Life,1,"Posting, Following & Feeling Seen",4_12,12,"If you hide the like counts on your post, what does it mean for you?",FALSE,1,#ADD8E6,1,,
86,5,Pinky,1,"Soft Power, Loud Heart",5_1,1,"No dress code, no shade.
Style isn’t just what you wear—it’s a way to say “this is me” without talking.

What’s your dream outfit if no one could judge?",FALSE,1,#98FB98,1,,
87,5,Pinky,2,"Tiny Things, Big Feelings",5_2,2,"Lip gloss, mascara, or blush—you only get one?",FALSE,1,#B0C4DE,1,,
88,5,Pinky,1,"Soft Power, Loud Heart",5_3,3,What color feels like “you” today?,FALSE,1,#F08080,1,,
89,5,Pinky,3,"Daily Drip, Inner Script",5_4,4,"If your emotions had a scent, what would today’s be?",FALSE,1,#FFE066,1,,
90,5,Pinky,1,"Soft Power, Loud Heart",5_5,5,What’s your favorite kind of quiet?,FALSE,1,#98FB98,1,,
91,5,Pinky,2,"Tiny Things, Big Feelings",5_6,6,What tiny thing makes you feel loved?,FALSE,1,#D6C7E7,1,,
92,5,Pinky,2,"Tiny Things, Big Feelings",5_7,7,"If you could bottle a moment and wear it as perfume, what would it be?",FALSE,1,#ADD8E6,1,,
93,5,Pinky,1,"Soft Power, Loud Heart",5_8,8,What’s a red flag you’d walk past with sunglasses on?,FALSE,1,#98FB98,1,,
94,5,Pinky,1,"Soft Power, Loud Heart",5_9,9,What’s your personal theme song when you enter a room?,FALSE,1,#FFAD84,1,,
95,5,Pinky,3,"Daily Drip, Inner Script",5_10,10,👕👗 If you had to pick one outfit combo to see every day for a year—on yourself or your crush—which one wins? ,FALSE,1,#FFE066,1,,
96,5,Pinky,3,"Daily Drip, Inner Script",5_11,11,What’s your “I woke up late” outfit —on yourself or your crush?  ,FALSE,1,#ADD8E6,1,,
97,5,Pinky,3,"Daily Drip, Inner Script",5_12,12,If you had to wear one for a year—shy but somehow magnetic—on yourself or your crush—which one wins?,FALSE,1,#FFE066,1,,
98,5,Pinky,3,"Daily Drip, Inner Script",5_13,13,💼 If you had to wear one vibe for a year—bossy but in denial——on yourself or your crush—which one wins?,FALSE,1,#FFAD84,1,,
99,5,Pinky,2,"Tiny Things, Big Feelings",5_14,14,What’s a little thing that makes you feel pretty or powerful?,FALSE,1,#D6C7E7,1,,
100,6,Lowkey,1,Lowkey Legends,6_1,1,"Some strengths don’t shout.
But they’re real—and they carry people more than anyone knows.
What’s your lowkey superpower no one sees?",TRUE,10,#ADD8E6,1,,
101,6,Lowkey,2,"Quiet Mode, Full Power",6_2,2,"Being around people all the time is a lot.
There’s no wrong way to recharge—just your way.
What do you do when you need a break from everyone?",TRUE,10,#98FB98,1,,
102,6,Lowkey,1,Lowkey Legends,6_3,3,🔵 What’s your personal theme song when you enter a room? (Lowkey Edition),FALSE,1,#B0C4DE,1,,
103,6,Lowkey,1,Lowkey Legends,6_4,4,You walk into a room where everyone’s louder than you. What do you do?,TRUE,10,#F08080,1,,
104,6,Lowkey,1,Lowkey Legends,6_5,5,Your friend sends a long message. You don’t know how to reply.,FALSE,1,#ADD8E6,1,,
105,6,Lowkey,2,"Quiet Mode, Full Power",6_6,6,Where do you usually sit when things feel too much?,FALSE,1,#FFAD84,1,,
106,6,Lowkey,1,Lowkey Legends,6_7,7,What’s your best move when you’re being watched?,FALSE,1,#98FB98,1,,
107,6,Lowkey,2,"Quiet Mode, Full Power",6_8,8,What sound feels most like you?,FALSE,1,#FFE066,1,,
108,6,Lowkey,1,Lowkey Legends,6_9,9,👕👟 If you had to pick one outfit combo to see every day for a year—on yourself or your crush—which one wins? Lowkey,FALSE,1,#ADD8E6,1,,
109,6,Lowkey,1,Lowkey Legends,6_10,10,What’s your “I’m not trying but still cute” go-to—on yourself or your crush? Lowkey,FALSE,1,#FFE066,1,,
110,6,Lowkey,2,"Quiet Mode, Full Power",6_11,11,🧲 If you had to wear one vibe for a year—lowkey nervous but somehow magnetic—on yourself or your crush—which one wins?,FALSE,1,#F08080,1,,
111,6,Lowkey,2,"Quiet Mode, Full Power",6_12,12,💼 If you had to wear one vibe for a year—bossy but in denial——on yourself or your crush—which one wins?,FALSE,1,#FFE066,1,,
112,7,Personal,1,"Energy, creativity, inspiration",7_1,1,"Want to know what other teens did this summer?
Answer this question and see how your summer compares.

What did you actually do this summer? (Check all that apply)",TRUE,10,#ADD8E6,1,,
113,7,Personal,1,"Energy, creativity, inspiration",7_2,2,What’s giving you a spark of energy or pride these days?,FALSE,1,#98FB98,1,,
114,7,Personal,1,"Energy, creativity, inspiration",7_3,3,What helps you feel like you’re moving in a direction that matters?,TRUE,10,#FFE066,1,,
115,7,Personal,1,"Energy, creativity, inspiration",7_4,4,Where does your creativity show up most?,FALSE,1,#FFAD84,1,,
116,7,Personal,1,"Energy, creativity, inspiration",7_5,5,What’s your favorite way to express yourself?,FALSE,1,#FFAD84,1,,
117,7,Personal,1,"Energy, creativity, inspiration",7_6,6,What does being inspired feel like to you?,TRUE,10,#D6C7E7,1,,
118,7,Personal,1,"Energy, creativity, inspiration",7_7,7,When do you feel most inspired?,TRUE,10,#ADD8E6,1,,
119,7,Personal,1,"Energy, creativity, inspiration",7_8,8,"You know that feeling when you’re not performing, not shrinking—just being?

When do you feel most like yourself? ",TRUE,10,#B0C4DE,1,,
120,7,Personal,1,"Energy, creativity, inspiration",7_9,9,What gives you energy when you feel drained?,TRUE,10,#F08080,1,,
121,7,Personal,2,"Pressure Handling
🎵[playlist:Believe]",7_10,10,How do you handle it when you feel like you have to get everything right?,FALSE,1,#98FB98,1,,
122,7,Personal,2,Pressure Handling,7_11,11,What do you do when your brain needs a break?,TRUE,10,#FFE066,1,,
123,7,Personal,2,Pressure Handling,7_12,12,What helps you calm down when life feels too big?,FALSE,1,#FFAD84,1,,
124,7,Personal,3,Hang Out and Trust,7_13,13,"After homework, who do you usually spend time with?",FALSE,1,#ADD8E6,1,,
125,7,Personal,3,Hang Out and Trust,7_14,14,Who do you trust with your secrets?,FALSE,1,#FFAD84,1,,
126,7,Personal,4,"Rejection and Hardship
🎵[playlist:Hurt]",7_15,15,If people go quiet when you walk by... what do you assume?,FALSE,1,#D6C7E7,1,,
127,7,Personal,4,Rejection and Hardship,7_16,16,Do you ever feel like you’re on the outside looking in?,FALSE,1,#ADD8E6,1,,
128,7,Personal,4,Rejection and Hardship,7_17,17,"What do you want to remind yourself when people leave you out?
[playlist:Rejection]
[playlist:Believe]",FALSE,1,#98FB98,1,,
129,7,Personal,4,Rejection and Hardship,7_18,18,When someone talks behind your back,TRUE,10,#B0C4DE,1,,
130,7,Personal,4,Rejection and Hardship,7_19,19,When a teacher/adult treated you unfairly,TRUE,10,#F08080,1,,
131,7,Personal,4,Rejection and Hardship,7_20,20,"When you feel disappointed—whether in yourself, people, or life—what helps you stay grounded?",TRUE,10,#ADD8E6,1,,
132,7,Personal,4,Rejection and Hardship,7_21,21,Think about something hard you’ve been through. What helped you get through it?,TRUE,10,#98FB98,1,,
133,7,Personal,5,"Regret, Repair, and the Road Ahead",7_22,22,What’s something you regret not doing?,TRUE,10,#ADD8E6,1,,
134,7,Personal,5,"Regret, Repair, and the Road Ahead",7_23,23,What’s something you regret doing?,TRUE,10,#98FB98,1,,
135,7,Personal,6,"Regret, Repair, and the Road Ahead",7_24,24,What’s something you’re dealing with that your parents didn’t at your age?,TRUE,10,#FFE066,1,,
136,7,Personal,6,Adults & society,7_25,25,What do you wish adults understood about being a teen?,TRUE,10,#ADD8E6,1,,
137,7,Personal,6,Adults & society,7_26,26,Forget about parties—what do you wish politicians actually understood about your life?,TRUE,10,#FFB6C1,1,,
138,7,Personal,7,"Like, You Know, Kinda Confident",7_27,27,Do you ever think about how the way you talk affects how clearly you get your point across?,FALSE,1,#D6C7E7,1,,
139,7,Personal,7,"Like, You Know, Kinda Confident",7_28,28,"This isn’t grammar police—we don’t care where commas go.
We’re just asking… how many “likes” per sentence are you rocking these days?
No shade. Just stats.",FALSE,1,#ADD8E6,1,,
140,7,Personal,7,"Like, You Know, Kinda Confident",7_29,29,"You know when you say “you know”… and the other person doesn’t actually know?
But you say it anyway… because it feels right?
So how often do you, like, you know… say “you know”?

(This question is—you know—kind of genius.)",FALSE,1,#ADD8E6,1,,
141,7,Personal,8,"Color, Weather, Sound: You",7_30,30," If your thoughts had a soundtrack today, what would it sound like?",FALSE,1,#98FB98,1,,
142,7,Personal,8,"Color, Weather, Sound: You",7_31,31,"If your mind was a weather forecast today, what would it say?",FALSE,1,#FFB6C1,1,,
143,7,Personal,8,"Color, Weather, Sound: You",7_32,32,"If you could pack one emotion in your backpack forever, what would it be?",FALSE,1,#FFE066,1,,
144,7,Personal,8,"Color, Weather, Sound: You",7_33,33,What color best matches your mood right now?,FALSE,1,#FFAD84,1,,
145,8,Healing,1,"Forgive, for Real",8_1,1,"Forgiveness isn’t a race. Fast, slow, or never—how you handle it is still a story worth telling.

Do you forgive fast, slow… or never?",FALSE,1,#ADD8E6,1,,
146,8,Healing,1,"Forgive, for Real",8_2,2,What helps you forgive someone?,TRUE,10,#ADD8E6,1,,
147,8,Healing,1,"Forgive, for Real",8_3,3,Do you forgive yourself easily?,FALSE,1,#D6C7E7,1,,
148,8,Healing,1,"Forgive, for Real",8_4,4,What makes you feel like you’ve healed?,TRUE,10,#98FB98,1,,
149,8,Healing,2,"The Way Forward
🎵[playlist:5 Years Later]",8_5,5,"Imagine they’d actually listen.
No excuses. No eye rolls. Just… listening. 
[playlist:Hurt]

What would you say to the person who hurt you?",TRUE,10,#FFAD84,1,,
150,8,Healing,2,The Way Forward,8_6,6,What helps you move on from something that still stings?,TRUE,10,#FFE066,1,,
151,8,Healing,2,The Way Forward,8_7,7,What are the things you’ve done that helped you feel whole again?,TRUE,10,#ADD8E6,1,,
152,9,Defense,1,"I Know Who I Am
🎵[playlist:Believe]",9_1,1,"“Your self-worth is determined by you. You don’t have to depend on someone telling you who you are.” - bell hooks
What do you want to believe about yourself—even on tough days?",TRUE,10,#ADD8E6,1,,
153,9,Defense,1,I Know Who I Am,9_2,2,"Many teens feel: “When the jokes stop, I can finally just be chill around them.”
What’s something you wish people would stop teasing you about?",TRUE,10,#FFB6C1,1,,
154,9,Defense,1,I Know Who I Am,9_3,3,"“When someone crosses the line, your body knows it—even if your face says nothing.” 
[playlist:Believe]

What’s your go-to move when someone crosses the line?",FALSE,1,#F08080,1,,
155,9,Defense,1,I Know Who I Am,9_4,4,You get one line to shut down a hater—what is it?,FALSE,1,#B0C4DE,1,,
156,9,Defense,2,Someone Has to Do Something,9_5,5,"1 in 5 teens experienced bullying. 
You see someone being physically bullied in the hallway—like shoved, blocked, or grabbed. What do you do?",FALSE,1,#98FB98,1,,
157,9,Defense,2,Someone Has to Do Something,9_6,6,"If you see someone being verbally bullied, what do you do?",FALSE,1,#FFE066,1,,
158,9,Defense,2,Someone Has to Do Something,9_7,7,"Let’s say someone starts physically bullying you—like shoving, hitting, or threatening you. What do you think you’d do?",FALSE,1,#FFE066,1,,
159,9,Defense,2,Someone Has to Do Something,9_8,8,"If someone’s byllied you—insulting, mocking, or spreading rumors. How would you respond?",FALSE,1,#F08080,1,,
160,9,Defense,2,Someone Has to Do Something,9_9,9,If someone left a mean comment on your post... what would you do?,FALSE,1,#B0C4DE,1,,
161,9,Defense,2,Someone Has to Do Something,9_10,10,"What if someone made fun of your parent—how they look, talk, or what they do?",TRUE,10,#F08080,1,,
162,9,Defense,1,I Know Who I Am,9_11,11,What’s your villain origin story?,TRUE,10,#ADD8E6,1,,
163,9,Defense,1,I Know Who I Am,9_12,12,"If someone tries to bring drama, what’s your signature move?",FALSE,1,#ADD8E6,1,,
164,9,Defense,1,I Know Who I Am,9_13,13,"No judgment—everyone handles tension their own way. Some pause. Some pounce. Some panic and joke.
What’s your go-to rhythm? 
We’re not clocking you like it’s the Olympics—just curious what your survival setting is.
How many seconds do you pause before replying—especially with difficult people?",FALSE,1,#98FB98,1,,
165,10,Family,1,Home is a Vibe,10_2,2,"Every house has a rhythm — a beat you can feel even when nobody’s talking.
At your dinner table, was it small talk, deep talk, or no talk at all?

Do you talk about your day or interesting topics during dinner?",FALSE,1,#FFE066,1,,
166,10,Family,1,Home is a Vibe,10_3,3,Have you ever lied to your parents?,FALSE,1,#F08080,1,,
167,10,Family,1,Home is a Vibe,10_4,4,How often do you lie in general?,FALSE,1,#ADD8E6,1,,
168,10,Family,1,Home is a Vibe,10_5,5,"If you ever hide the truth from your parents, what are you usually hiding?",TRUE,10,#FFE066,1,,
169,10,Family,1,Home is a Vibe,10_6,6,"When you avoid telling someone the full truth, what’s usually about this person?",FALSE,1,#FFAD84,1,,
170,10,Family,1,Home is a Vibe,10_7,7,What makes you feel safe enough to tell someone the whole truth?,FALSE,1,#FFE066,1,,
171,10,Family,2,When Home Gets Loud,10_9,9,"Every family has tension—loud or quiet, it shows up. Some people rush in. Some shut down. Some disappear. There’s no perfect way to handle it—but your pattern comes from somewhere—and it matters.

When someone in your family is upset, what do you do?",FALSE,1,#D6C7E7,1,,
172,10,Family,2,When Home Gets Loud,10_10,10,"Every house argues—it’s part of being human. But how it starts… and how it ends… tells you a lot. What’s the script you know by heart?

How do arguments usually go in your house?",FALSE,1,#ADD8E6,1,,
173,10,Family,2,When Home Gets Loud,10_11,11,"Most tension starts small—until it builds into something big. It’s not just what people fight about—it’s what goes unsaid that builds pressure.

What sparks it most where you live?",FALSE,1,#98FB98,1,,
174,10,Family,2,When Home Gets Loud,10_12,12,"Every couple fights—it’s part of being close. But how they argue teaches you something: What respect looks like. Whether people take responsibility.
Whether things get repaired—or just buried.

How do your parents argue?",FALSE,1,#B0C4DE,1,,
175,10,Family,2,When Home Gets Loud,10_13,13,"Even when it’s hard to watch, arguments can teach us things. 

What have your parents’ arguments taught you—about love, respect, or yourself?",TRUE,10,#F08080,1,,
176,10,Family,2,When Home Gets Loud,10_14,14,"Every household has repeat fights—like a playlist stuck on loop.

What do your parents usually argue about?",FALSE,1,#ADD8E6,1,,
177,10,Family,2,When Home Gets Loud,10_15,15,"Parents don’t always say what’s really going on. But you feel it—through their moods, their tone, their silence.

What do you think is weighing on them lately?",FALSE,1,#98FB98,1,,
